Date,Open,High,Low,Close,Adj Close,Volume
2005-10-01,16120.080078,16186.349609,14699.299805,15759.730469,15759.730469,2591605000
2005-11-01,15759.929688,17014.789063,15725.440430,16830.960938,16830.960938,2176796200
2005-12-01,16831.839844,18179.580078,16831.839844,17802.710938,17802.710938,1834573800
2006-01-01,17802.710938,19447.619141,17786.240234,18907.099609,18907.099609,2359375600
2006-02-01,18907.099609,19211.220703,17789.330078,18706.320313,18706.320313,2272388800
2006-03-01,18706.320313,19675.660156,18190.939453,19272.630859,19272.630859,2590958700
2006-04-01,19284.869141,20702.560547,19284.869141,20646.189453,20646.189453,2156595000
2006-05-01,20667.849609,21917.509766,18466.550781,18677.919922,18677.919922,3221960000
2006-06-01,18703.900391,19509.679688,16464.619141,19147.169922,19147.169922,2855556500
2006-07-01,19147.169922,20532.300781,18244.279297,20095.929688,20095.929688,2292763400
2006-08-01,20093.730469,21423.019531,19868.470703,21049.349609,21049.349609,2275022700
2006-09-01,21057.300781,21946.429688,20481.699219,21937.109375,21937.109375,2319985900
2006-10-01,21933.929688,23461.490234,21479.070313,23046.949219,23046.949219,2722560900
2006-11-01,23046.949219,25006.359375,22880.130859,24962.009766,24962.009766,2272440700
2006-12-01,24962.009766,26450.449219,24878.189453,26448.320313,26448.320313,1986448600
2007-01-01,26448.320313,27621.980469,25400.330078,27561.490234,27561.490234,2938052800
2007-02-01,27561.490234,28940.109375,26320.259766,26638.949219,26638.949219,3258849000
2007-03-01,26581.589844,28756.470703,25691.580078,28747.689453,28747.689453,2636805500
2007-04-01,28749.460938,30057.740234,28738.220703,28996.710938,28996.710938,2074728300
2007-05-01,28996.710938,32029.449219,28921.179688,31398.960938,31398.960938,2779251700
2007-06-01,31402.970703,32564.349609,30267.000000,31151.050781,31151.050781,2665500700
2007-07-01,31151.050781,32555.359375,29348.730469,30659.660156,30659.660156,3212761400
2007-08-01,30639.009766,30982.449219,26445.839844,30347.859375,30347.859375,3177673900
2007-09-01,30347.859375,31090.480469,29573.589844,30296.189453,30296.189453,2297855500
2007-10-01,30298.410156,32851.140625,30266.589844,31458.669922,31458.669922,3289441600
2007-11-01,31411.980469,31411.980469,27647.470703,29770.519531,29770.519531,2609756900
2007-12-01,29770.519531,31452.970703,28839.750000,29536.830078,29536.830078,1836370500
2008-01-01,29536.830078,29733.560547,25282.310547,28793.640625,28793.640625,3218717000
2008-02-01,28793.339844,30633.710938,27472.269531,28918.519531,28918.519531,2852818100
2008-03-01,28904.710938,31109.169922,28080.630859,30912.990234,30912.990234,2771714600
2008-04-01,30916.039063,32292.919922,30244.910156,30281.410156,30281.410156,3577602100
2008-05-01,30289.910156,32211.480469,30238.410156,31975.470703,31975.470703,2932275300
2008-06-01,31968.599609,32001.130859,29098.150391,29395.490234,29395.490234,3025396500
2008-07-01,29395.490234,29395.490234,26647.550781,27501.019531,27501.019531,3569241900
2008-08-01,27500.269531,27502.650391,25872.250000,26290.990234,26290.990234,2750605400
2008-09-01,26320.730469,26753.710938,23181.740234,24888.900391,24888.900391,3866331000
2008-10-01,24898.470703,25220.720703,16480.009766,20445.320313,20445.320313,6111676500
2008-11-01,20445.320313,21538.349609,17942.970703,20534.720703,20534.720703,3388748100
2008-12-01,20514.560547,23098.150391,19440.539063,22380.320313,22380.320313,3336205700
2009-01-01,22380.320313,23489.769531,18963.699219,19565.140625,19565.140625,3316931400
2009-02-01,19563.970703,20708.050781,17620.699219,17752.179688,17752.179688,2953063100
2009-03-01,17748.179688,20730.939453,16756.650391,19626.750000,19626.750000,4156261800
2009-04-01,19626.980469,22711.669922,19288.390625,21898.849609,21898.849609,4202016200
2009-05-01,21976.900391,24993.779297,21976.900391,24331.710938,24331.710938,3743979500
2009-06-01,24331.710938,25554.160156,22955.980469,24368.380859,24368.380859,3343019900
2009-07-01,24406.220703,27156.050781,23033.939453,27043.500000,27043.500000,3220087000
2009-08-01,27074.060547,28708.439453,27069.669922,28129.949219,28129.949219,3814195600
2009-09-01,28129.949219,30227.140625,27705.949219,29232.240234,29232.240234,3987657500
2009-10-01,29232.240234,31216.449219,28063.720703,28646.029297,28646.029297,4039025200
2009-11-01,28646.710938,31510.509766,28531.179688,30957.109375,30957.109375,2981367200
2009-12-01,31002.419922,32787.339844,31002.419922,32120.470703,32120.470703,3095700500
2010-01-01,32120.740234,33080.050781,30082.769531,30391.609375,30391.609375,3905039400
2010-02-01,30416.640625,32283.140625,29926.060547,31634.539063,31634.539063,3097247600
2010-03-01,31637.890625,33589.089844,31637.890625,33266.429688,33266.429688,3675413700
2010-04-01,33267.468750,34223.871094,32385.089844,32687.320313,32687.320313,3738004700
2010-05-01,32692.669922,32974.679688,30074.060547,32038.529297,32038.529297,4636273400
2010-06-01,31988.630859,33290.910156,30690.539063,31156.970703,31156.970703,3624628600
2010-07-01,31153.519531,33043.570313,30542.529297,32308.740234,32308.740234,3248575600
